interval,window,z_entry,z_exit,pair_category,leader,lagger,lag,base_correlation,max_correlation,sharpe_ratio,max_drawdown,max_drawdown_pct,total_return_pct,num_trades,win_rate,sortino_ratio,final_capital,volatility_annual
1d,90,2.0,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-21.744581652289668,-0.45270578235972053,-45.27057823597205,-44.80562957321291,234,0.08547008547008547,-10.36568874428309,55194.370426787085,1.5489612392773724
1d,90,2.0,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-30.939480615553386,-0.3200996172811743,-32.00996172811743,-32.00996172811743,230,0.06086956521739131,-19.151366628140174,67990.03827188257,0.72395181684571
1d,90,2.0,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-15.80125729024749,-0.3800226104473356,-38.00226104473356,-37.692557274572145,228,0.05263157894736842,-10.257015442121268,62307.442725427856,1.6729866960561377
1d,90,2.0,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-27.313768323511482,-0.443460769732601,-44.346076973260104,-43.873274296846866,234,0.07692307692307693,-12.03710491180892,56126.72570315314,1.214045096365596
1d,90,2.5,0.3,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-7.528789060801342,-0.1410503951155294,-14.105039511552938,-9.835755606184959,140,0.08571428571428572,-14.764542470713891,90164.24439381504,0.769797787945508
1d,90,2.5,0.3,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-6.913428559865101,-0.27541588704179987,-27.541588704179986,-18.26376743931294,132,0.06060606060606061,-4.068391240211693,81736.23256068706,1.5482574798055466
1d,90,2.5,0.3,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-13.375174298947496,-0.29392469633842006,-29.392469633842005,-28.219534756116705,142,0.09859154929577464,-5.288399283532095,71780.4652438833,1.383522416113668
1d,90,2.5,0.5,Crypto-Crypto,BTCUSDT,ETHUSDT,0,0.7860844845881118,0.7860844845881071,-20.99224147445668,-0.16981533604785087,-16.98153360478509,-16.98153360478508,140,0.07142857142857142,-27.31987755890263,83018.46639521491,0.5145759653737483
1d,90,2.5,0.5,Crypto-Crypto,BTCUSDT,SOLUSDT,0,0.7263653524210653,0.7263653524210503,-5.341451736842198,-0.22466301715198525,-22.466301715198526,-14.023100535559962,136,0.058823529411764705,-3.7385373198769116,85976.89946444004,1.470501220474989
1d,90,2.5,0.5,Crypto-Crypto,ETHUSDT,SOLUSDT,0,0.7043189095218266,0.7043189095218254,-19.170551498533893,-0.3461220230124581,-34.61220230124581,-33.36220099721533,142,0.09859154929577464,-6.5977786836921535,66637.79900278467,1.2044763679533446
